,label,safety_tier,beta_live,leverage_x,composite_score,implied_cagr_%,levered_cagr_%,net_kelly_%
1,VLGEA (US),1,0.098,2.0,0.841263714183685,22.0,44.0,5.82
2,CVGI (US),1,2.111,1.0,0.8320573676412863,21.5,21.5,2.91
3,CRNT (US),1,1.95,1.0,0.7754309705823942,19.0,19.0,2.91
4,OSUR (US),1,1.395,1.0,0.7581772291638113,18.3,18.3,2.91
5,TEAD (US),1,3.44,1.0,0.7238739381326799,16.8,16.8,2.91
6,SGC (US),1,1.186,1.0,0.7220259556689332,16.7,16.7,2.91
7,JELD (US),2,2.916,1.0,0.960429679232388,27.2,27.2,2.91
8,VRA (US),2,1.037,1.0,0.8704845872481751,23.2,23.2,2.91
9,FLNT.TO (CA),2,,1.0,0.8489176435706154,22.3,22.3,2.91
10,TTEC (US),2,2.011,1.0,0.8171625543928742,20.9,20.9,2.91
11,RGP (US),2,1.15,1.0,0.7809441493453274,19.3,19.3,2.91
12,DCM.TO (CA),2,,1.0,0.7643850330203323,18.6,18.6,2.91
13,TRT (US),2,1.05,1.0,0.7401682577777031,17.5,17.5,2.91
14,SWP.TO (CA),2,,1.0,0.7131077153734051,16.3,16.3,2.91
15,ACX.TO (CA),2,,1.0,0.7020449949231763,15.8,15.8,2.91
16,CHGG (US),2,3.229,1.0,0.6913915904676925,15.3,15.3,2.91
17,CAF.V (CA),2,,1.0,0.6652858079235743,14.2,14.2,2.91
18,PVT.V (CA),2,,1.0,0.6611581498171131,14.0,14.0,2.91
19,CLAR (US),2,1.472,1.0,0.6561708348834195,13.8,13.8,2.91
20,IRO.V (CA),2,,1.0,0.6252987120998097,12.4,12.4,2.91
