feature,in_1y,in_3y,in_5y,category
accounts_payable,False,False,True,long_term
altman_z_score_sector_pct,True,True,True,universal
cpi_yoy,True,False,False,short_term
credit_spread_baa,True,True,True,universal
debt_to_assets_sector_pct,False,False,True,long_term
entry_price,True,True,True,universal
ev_revenue,True,True,True,universal
fed_funds_rate,True,True,False,multi
financing_cash_flow,False,True,True,multi
goodwill,False,True,True,multi
likely_delisted,True,True,False,multi
log_market_cap,False,True,False,mid_term
momentum_12m_prior_sector_pct,True,False,False,short_term
momentum_3m_prior,False,False,True,long_term
momentum_6m_prior,True,False,False,short_term
operating_margin,True,False,False,short_term
operating_margin_change,True,False,False,short_term
pb_ratio,True,False,False,short_term
pb_ratio_sector_pct,False,True,True,multi
price_to_52w_high,True,True,True,universal
ps_ratio,False,True,False,mid_term
ps_ratio_sector_pct,False,False,True,long_term
rd_intensity,True,True,True,universal
retained_earnings,False,True,True,multi
revenue_cagr_3y,True,False,False,short_term
revenue_growth,False,False,True,long_term
roic,True,False,False,short_term
sales_to_price,False,False,True,long_term
sic_2digit,False,True,True,multi
sloan_accruals_sector_pct,True,False,False,short_term
soft_assets_ratio,False,True,True,multi
tax_expense,True,False,False,short_term
treasury_10y,True,False,False,short_term
value_composite,False,True,False,mid_term
value_x_momentum,False,True,True,multi
vix,False,True,False,mid_term
vol_prior_12m,True,True,True,universal
