,ticker,fiscal_year,beta_live,leverage_x,composite_score,CAGR_6m_%,CAGR_1y_%,CAGR_2y_%,CAGR_3y_%,levered_3y_%,piotroski_f_score,altman_z_score,beneish_m_score,fcf_yield
1,IMXI,2025,0.317,2.0,0.9778,32.9,28.0,28.0,26.6,53.2,8.0,3.4107645123935937,-3.1924965469868867,0.2710028092366298
2,VLGEA,2025,0.098,2.0,0.9226,30.7,25.5,25.0,23.7,47.4,8.0,2.6537761531830166,-2.352440034028885,0.13723714619536306
3,TK,2025,0.367,2.0,0.9142,30.4,25.2,24.6,23.3,46.6,7.0,1.938141297608349,-3.4394248641066305,0.6817570325513148
4,CNC,2025,0.414,2.0,0.8983,29.8,24.5,23.7,22.4,44.8,7.0,2.2585152615130246,-2.6099590400769994,0.3547839646898809
5,MOH,2025,-0.127,2.0,0.8926,29.5,24.2,23.4,22.1,44.2,7.0,3.219192626464473,-2.491767077671145,0.2246557550826113
6,CNR,2025,0.09,2.0,0.8563,28.1,22.6,21.5,20.2,40.4,7.0,3.24298160936905,-2.569063504683959,0.2296115974500661
7,FTLF,2025,0.307,2.0,0.8333,27.2,21.6,20.3,19.0,38.0,7.0,4.472655232717763,-2.3193055996250047,0.07340459794885776
8,RSKIA,2025,0.02,2.0,0.8132,26.4,20.7,19.2,18.0,36.0,7.0,9.153496410771073,-2.014258996985732,0.045071209671845115
9,USFD,2025,0.447,2.0,0.812,26.4,20.7,19.2,17.9,35.8,7.0,4.4482440539915205,-2.4683188909989,0.03535208820433516
10,HAL,2025,0.395,2.0,0.8119,26.4,20.7,19.2,17.9,35.8,7.0,2.9253108599554247,-2.353197150510248,0.11444171985514377
11,PZZA,2025,0.699,1.5,0.8671,28.5,23.1,22.1,20.8,31.2,7.0,3.3433624087889564,-3.0944862547636793,0.11554920040448316
12,CON,2025,0.703,1.5,0.8525,28.0,22.4,21.3,20.0,30.0,7.0,2.1419169992390925,-2.303149131495069,0.05607149811163331
13,BBSI,2025,0.774,1.5,0.8471,27.7,22.2,21.0,19.8,29.7,7.0,2.619414857156476,-2.418435780433713,0.09746137180282727
14,PFGC,2025,0.591,1.5,0.8378,27.4,21.8,20.5,19.3,29.0,8.0,5.606585544331849,-2.4838863954166452,0.03601472829710112
15,ICFI,2025,0.54,1.5,0.8274,27.0,21.3,20.0,18.7,28.0,8.0,1.952151253955079,-2.465410181529903,0.0984115424742939
16,HALO,2025,0.617,1.5,0.8186,26.6,20.9,19.5,18.3,27.4,7.0,4.631979502229075,-2.666635205107651,0.037666142899430495
17,IBEX,2025,0.993,1.25,0.8758,28.9,23.5,22.6,21.3,26.6,7.0,4.402855484397138,-2.404614536390943,0.04419195178767344
18,LZB,2025,0.936,1.25,0.8277,27.0,21.4,20.0,18.7,23.4,7.0,2.9067198617012124,-2.3842127315236894,0.08448960395639778
19,TGT,2025,0.897,1.25,0.8218,26.8,21.1,19.7,18.4,23.0,7.0,2.855071900444174,-2.7238400487458674,0.07050159998430067
20,PUMP,2025,0.87,1.25,0.8197,26.7,21.0,19.6,18.3,22.9,7.0,2.7990237734575265,-1.780955841192539,0.0032698941310860302
