ticker,name,composite_score,leverage_safe,position_pct,position_eur,leverage_mult,notional_eur,strategy,piotroski,beneish,ml_1y
VIVA3.SA,Vivara Participaçőes S.A.,0.815,0,11.3,1128.0,1.0,1128.0,Equity only — quality gate failed,2.0,-2.1265371377996813,0.738
QUAL3.SA,Quality Software S.A.,0.776,0,10.7,1073.0,1.0,1073.0,Equity only — quality gate failed,2.0,-2.0169943497837255,0.631
WEGE3.SA,Weg Sa,0.729,0,10.1,1009.0,1.0,1009.0,Equity only — quality gate failed,2.0,-2.3020830398524756,0.642
MULT3.SA,Multiplan - Empreend Imobiliar,0.728,0,10.1,1007.0,1.0,1007.0,Equity only — quality gate failed,3.0,-2.4381861359059958,0.64
ETER3.SA,Eternit S.A.,0.727,0,10.1,1005.0,1.0,1005.0,Equity only — quality gate failed,3.0,-2.3781667205792933,0.638
ROMI3.SA,Romi S.A.,0.721,0,10.0,997.0,1.0,997.0,Equity only — quality gate failed,3.0,-2.4881213927492,0.653
AXIA3.SA,Axia Energia S.A.,0.713,0,9.9,986.0,1.0,986.0,Equity only — quality gate failed,3.0,-2.474453785079305,0.645
JHSF3.SA,Jhsf Participaçőes Sa,0.683,0,9.5,945.0,1.0,945.0,Equity only — quality gate failed,3.0,-2.8037390067529135,0.598
FRAS3.SA,Frasle Mobility S.A.,0.672,0,9.3,929.0,1.0,929.0,Equity only — quality gate failed,3.0,-3.1754070269125227,0.62
VULC3.SA,Vulcabras S.A.,0.665,0,9.2,920.0,1.0,920.0,Equity only — quality gate failed,2.0,-1.523017220435391,0.614
