ticker,name,composite_score,leverage_safe,position_pct,position_eur,leverage_mult,notional_eur,strategy,piotroski,beneish,ml_1y
058470.KQ,리노공업,0.882,0,11.0,1098.0,1.0,1098.0,Equity only — quality gate failed,3.0,-2.3557003671687795,0.654
041020.KQ,폴라리스오피스,0.825,0,10.3,1027.0,1.0,1027.0,Equity only — quality gate failed,3.0,-2.509781044401799,0.694
134380.KS,미원화학,0.818,0,10.2,1018.0,1.0,1018.0,Equity only — quality gate failed,2.0,-2.3010122190931463,0.678
030520.KQ,한글과컴퓨터,0.812,0,10.1,1011.0,1.0,1011.0,Equity only — quality gate failed,3.0,-2.742607898924364,0.651
032540.KQ,TJ미디어,0.807,0,10.0,1004.0,1.0,1004.0,Equity only — quality gate failed,2.0,-2.460070802154995,0.696
042510.KQ,라온시큐어,0.806,0,10.0,1003.0,1.0,1003.0,Equity only — quality gate failed,3.0,-2.6516834534981792,0.663
004360.KS,세방,0.781,0,9.7,972.0,1.0,972.0,Equity only — quality gate failed,3.0,-2.2510811593580695,0.689
357550.KQ,석경에이티,0.768,0,9.6,956.0,1.0,956.0,Equity only — quality gate failed,3.0,-2.343490442570608,0.647
214430.KQ,아이쓰리시스템,0.768,0,9.6,955.0,1.0,955.0,Equity only — quality gate failed,3.0,-2.4390243017080535,0.651
417790.KQ,트루엔,0.767,0,9.5,955.0,1.0,955.0,Equity only — quality gate failed,3.0,-2.4240254674640385,0.632
