ticker,name,composite_score,leverage_safe,position_pct,position_eur,leverage_mult,notional_eur,strategy,piotroski,beneish,ml_1y
HELE,HELEN OF TROY LTD,0.951,0,12.1,1210.0,1.0,1210.0,Equity only — quality gate failed,8.0,-2.492294032822906,0.714
VRA,"Vera Bradley, Inc.",0.895,0,11.4,1139.0,1.0,1139.0,Equity only — quality gate failed,6.0,-2.7794806007174615,0.634
VIRC,VIRCO MFG CORPORATION,0.889,1,11.3,1131.0,1.09,1231.0,Equity only (score below leverage threshold),6.0,-2.415179771343648,0.62
LOVE,Lovesac Co,0.869,0,11.1,1106.0,1.0,1106.0,Equity only — quality gate failed,6.0,-2.678643157001795,0.607
APOG,"APOGEE ENTERPRISES, INC.",0.78,1,9.9,993.0,1.09,1080.0,Equity only (score below leverage threshold),7.0,-2.9309861549914253,0.601
URBN,URBAN OUTFITTERS INC,0.755,0,9.6,961.0,1.0,961.0,Equity only — quality gate failed,7.0,-2.4676522879997824,0.589
DELL,Dell Technologies Inc.,0.708,0,9.0,900.0,1.0,900.0,Equity only — quality gate failed,7.0,-2.7176528244701883,0.603
PD,"PagerDuty, Inc.",0.701,0,8.9,892.0,1.0,892.0,Equity only — quality gate failed,7.0,-3.170239143229772,0.652
TITN,Titan Machinery Inc.,0.66,0,8.4,840.0,1.0,840.0,Equity only — quality gate failed,3.0,-1.5273849442156573,0.619
YEXT,"Yext, Inc.",0.65,0,8.3,827.0,1.0,827.0,Equity only — quality gate failed,4.0,-2.705768804921735,0.591
