,label,market,fiscal_year,safety_tier,composite_score,implied_cagr_%,leverage_x,levered_cagr_%,net_kelly_%,piotroski_f_score,altman_z_score,beneish_m_score,fcf_yield,ml_3y_oof,alpha_value,alpha_quality
1,VLGEA (US),US,2025,1,0.841263714183685,30.7,1.0,30.7,2.91,8.0,2.6537761531830166,-2.352440034028885,0.13723714619536306,0.76751786,0.79277086,0.6258906
2,CVGI (US),US,2025,1,0.8320573676412863,30.5,1.0,30.5,2.91,7.0,2.886930953452114,-2.302657399332129,0.34038704147450605,0.8184797,0.7963911,0.4691319
3,CRNT (US),US,2025,1,0.7754309705823942,28.9,1.0,28.9,2.91,7.0,2.3413870662659715,-2.496962155938475,0.09359932234532845,0.7083184,0.6141783,0.6746587
4,OSUR (US),US,2025,1,0.7581772291638113,28.5,1.0,28.5,2.91,7.0,3.063004522958186,-3.0533804671667393,0.5688029420054218,0.599781,0.7963339,0.77209103
5,TEAD (US),US,2025,1,0.7238739381326799,27.5,1.0,27.5,2.91,7.0,1.8332819367186801,-2.3522160727273635,0.10233681116399858,0.78550386,0.7308727,0.49743196
6,SGC (US),US,2025,1,0.7220259556689332,27.5,1.0,27.5,2.91,7.0,2.3157598391629297,-2.5457267885945254,0.1746533128916249,0.64126796,0.76715076,0.68718183
7,JELD (US),US,2025,2,0.960429679232388,33.9,1.0,33.9,2.91,6.0,2.1423882712061295,-2.7579269584919426,1.4436033307479719,0.86822015,0.8202023,0.6540576
8,VRA (US),US,2026,2,0.8704845872481751,31.5,1.0,31.5,2.91,6.0,2.212010927570493,-2.7597715312982984,0.49733350241146607,0.8180041,0.7732233,0.69916886
9,FLNT.TO (CA),CA,2025,2,0.8489176435706154,30.9,1.0,30.9,2.91,6.0,3.275178602326766,-3.0708536981519456,1.7827504006688952,0.6150255,0.77531046,0.7000209
10,TTEC (US),US,2025,2,0.8171625543928742,30.1,1.0,30.1,2.91,5.0,1.8309312869999657,-2.5843359259211356,0.728974095422962,0.6832303,0.79072803,0.6474915
11,RGP (US),US,2025,2,0.7809441493453274,29.1,1.0,29.1,2.91,6.0,3.1034317281778807,-2.4977501179239314,0.47933835778172235,0.66384685,0.79705864,0.6809772
12,DCM.TO (CA),CA,2025,2,0.7643850330203323,28.6,1.0,28.6,2.91,6.0,1.8887021628572453,-2.546852335202612,0.2256094468310926,0.64744717,0.7251991,0.618275
13,TRT (US),US,2025,2,0.7401682577777031,28.0,1.0,28.0,2.91,5.0,2.348143814388335,-2.426105863182168,0.18574517626765644,0.6799326,0.7563111,0.5505687
14,SWP.TO (CA),CA,2025,2,0.7131077153734051,27.3,1.0,27.3,2.91,6.0,1.843177324228367,-2.832318716836225,0.14027249039878564,0.6634886,0.65698147,0.5331151
15,ACX.TO (CA),CA,2024,2,0.7020449949231763,27.0,1.0,27.0,2.91,5.0,2.3741237959844783,-2.616937393125465,0.13190063529207344,0.58511966,0.67172104,0.65644264
16,CHGG (US),US,2025,2,0.6913915904676925,26.7,1.0,26.7,2.91,5.0,12.441755749173428,-3.6344945077581774,2.5089491535476807,0.7040503,0.8107198,0.7453659
17,CAF.V (CA),CA,2025,2,0.6652858079235743,26.0,1.0,26.0,2.91,6.0,5.521492096354752,-2.3905050202723706,0.22430556811013252,0.53275985,0.7230497,0.6269795
18,PVT.V (CA),CA,2025,2,0.6611581498171131,25.9,1.0,25.9,2.91,6.0,8.200569524429675,-2.521327763348455,0.15167149890891712,0.6701356,0.65454876,0.72165364
19,CLAR (US),US,2025,2,0.6561708348834195,25.7,1.0,25.7,2.91,5.0,13.314064550789883,-2.811350702207225,0.22237069933716075,0.62268996,0.76401705,0.5061073
20,IRO.V (CA),CA,2025,2,0.6252987120998097,24.9,1.0,24.9,2.91,6.0,5.055827052288333,-2.230306119871051,0.054658323451620465,0.6202476,0.6209202,0.59771186
