label,tier,beta_live,leverage_x,composite_score,CAGR_6m_%,CAGR_1y_%,CAGR_2y_%,CAGR_3y_%,best_CAGR_%,levered_best_%
VLGEA (US),🟢 1,0.098,2.0,0.841263714183685,27.5,22.0,20.7,19.5,19.5,39.0
CVGI (US),🟢 1,2.111,1.0,0.8320573676412863,27.2,21.5,20.2,19.0,19.0,19.0
CRNT (US),🟢 1,1.95,1.0,0.7754309705823942,24.9,19.0,17.2,16.0,16.0,16.0
OSUR (US),🟢 1,1.395,1.0,0.7581772291638113,24.2,18.3,16.3,15.1,15.1,15.1
TEAD (US),🟢 1,3.44,1.0,0.7238739381326799,22.9,16.8,14.5,13.3,13.3,13.3
SGC (US),🟢 1,1.186,1.0,0.7220259556689332,22.8,16.7,14.4,13.2,13.2,13.2
JELD (US),🟡 2,2.916,1.0,0.960429679232388,32.2,27.2,27.0,25.7,25.7,25.7
VRA (US),🟡 2,1.037,1.0,0.8704845872481751,28.7,23.2,22.3,21.0,21.0,21.0
FLNT.TO (CA),🟡 2,,1.0,0.8489176435706154,27.8,22.3,21.1,19.9,19.9,19.9
TTEC (US),🟡 2,2.011,1.0,0.8171625543928742,26.6,20.9,19.5,18.2,18.2,18.2
RGP (US),🟡 2,1.15,1.0,0.7809441493453274,25.1,19.3,17.5,16.3,16.3,16.3
DCM.TO (CA),🟡 2,,1.0,0.7643850330203323,24.5,18.6,16.7,15.4,15.4,15.4
TRT (US),🟡 2,1.05,1.0,0.7401682577777031,23.5,17.5,15.4,14.2,14.2,14.2
SWP.TO (CA),🟡 2,,1.0,0.7131077153734051,22.5,16.3,13.9,12.7,12.7,12.7
ACX.TO (CA),🟡 2,,1.0,0.7020449949231763,22.0,15.8,13.4,12.2,12.2,12.2
CHGG (US),🟡 2,3.229,1.0,0.6913915904676925,21.6,15.3,12.8,11.6,11.6,11.6
CAF.V (CA),🟡 2,,1.0,0.6652858079235743,20.6,14.2,11.4,10.2,10.2,10.2
PVT.V (CA),🟡 2,,1.0,0.6611581498171131,20.4,14.0,11.2,10.0,10.0,10.0
CLAR (US),🟡 2,1.472,1.0,0.6561708348834195,20.2,13.8,10.9,9.7,9.7,9.7
IRO.V (CA),🟡 2,,1.0,0.6252987120998097,19.0,12.4,9.3,8.1,8.1,8.1
