ticker,name,beneish_m_score,altman_z_score,piotroski_f_score,short_pct,short_eur,short_leg
SPPP.TO,Sprott Physical Platinum and Palladium Trust,11.79270697225872,0.37399016115178274,4.0,1.5,150.0,Short
STCK.TO,Stack Capital Group Inc.,9.94205568218894,0.8347180728948672,3.0,1.5,150.0,Short
PSLV.TO,Sprott Physical Silver Trust,8.47949389502256,0.5547416805223041,4.0,1.5,150.0,Short
IVN.TO,Ivanhoe Mines Ltd.,6.62881877133896,0.1160472991579686,3.0,1.5,150.0,Short
MFC.TO,Manulife Financial Corporation,4.931373395682869,0.0516991358772343,5.0,1.5,150.0,Short
GCU.TO,Gunnison Copper Corp,3.7066292880668783,-0.2586723986619691,1.0,1.5,150.0,Short
CEF.TO,Sprott Physical Gold and Silver Trust,2.859937374108142,0.4811771315111694,3.0,1.5,150.0,Short
CVG.TO,Clairvest Group Inc.,2.0305356205039358,0.11946888106139839,4.0,1.5,150.0,Short
ODV.V,Osisko Development Corp.,1.861752552846288,0.028594346393889112,1.0,1.5,150.0,Short
PHYS.TO,Sprott Physical Gold Trust,1.6048590403088072,0.3726819154296665,3.0,1.5,150.0,Short
