ticker,name,market,iarb_score,pb_ratio,piotroski_f_score,beneish_m_score,ml_3y,pe_ratio,roe,market_cap_at_filing,fiscal_year,forward_return_1y
SOIL.TO,Saturn Oil & Gas Inc.,CA,0.9157142857142857,0.5232841571575492,6.0,-3.320702033793618,0.65940607,2.9560125894880414,0.1770236564683163,495336073.6079216,2025,
FLNT.TO,FLINT Corp.,CA,0.790952380952381,0.3942883825013033,6.0,-3.0708536981519456,0.6517124,1.467105402836023,0.26875259387574657,43702135.739679456,2025,
PVT.V,Pivotree Inc.,CA,0.7742857142857142,1.0062215267152148,6.0,-2.521327763348455,0.6456432,12.155870692602074,0.08277659018926467,51524116.635077,2025,
LNR.TO,Linamar Corporation,CA,0.6414285714285715,0.8142936684210121,6.0,-2.6210092158831952,0.5508181,8.494288166858086,0.09586367361518505,4965047342.139221,2025,
9101.T,Nippon Yusen KK,JP,0.6228571428571429,0.7015649252001586,6.0,-2.249532016872456,0.5529035,4.286685393931191,0.1636613981967019,2047779619478.6875,2025,0.2207266119605098
ECOR.TO,Ecora Royalties PLC,CA,0.6090476190476191,1.1693901955699197,6.0,-2.34082296911315,0.5803455,24.54955034470182,0.04763387431339623,544582675.2965205,2025,
MDP.TO,Medexus Pharmaceuticals Inc.,CA,0.6085714285714287,1.2303004150599126,6.0,-2.9210087952497843,0.5333486,28.549868510222083,0.04309303262182843,64151554.542469025,2025,0.28925611041183763
SHLE.TO,Source Energy Services Ltd.,CA,0.5895238095238096,0.9701965790217624,6.0,-3.177473393027939,0.48086813,6.126483013552495,0.15836109834558823,202670184.57133007,2025,
5802.T,Sumitomo Electric Industries,JP,0.5642857142857143,0.8238278555335905,6.0,-2.4926362238783613,0.6379077,9.737733599697593,0.08460160129654548,1886890377347.0024,2025,2.4634758951543296
PRQ.TO,Petrus Resources Ltd.,CA,0.5457142857142857,0.7718632494319069,6.0,-2.5539981612157194,0.56500727,22.77544472855238,0.0338901504945922,240645349.00188446,2025,
TWC.TO,TWC Enterprises Limited,CA,0.5423809523809524,0.9711336358654612,6.0,-2.393946050526122,0.42735875,10.603318474539236,0.09158770796117784,589852003.4201431,2025,
9022.T,Central Japan Railway Co,JP,0.5342857142857143,0.6058389451489331,6.0,-2.388322994333926,0.5627314,6.07993635939253,0.09964560635787063,2787182665681.802,2025,0.4418252707182939
CAF.V,Canaf Investments Inc.,CA,0.4952380952380952,1.0281777749401133,6.0,-2.3905050202723706,0.45517343,6.268328621651466,0.16402742054535543,15176382.06078142,2025,
6503.T,Mitsubishi Electric Corp,JP,0.4461904761904762,1.4160281128295356,6.0,-2.3432303946947752,0.63460714,17.257424262303395,0.08205327117805553,5592855084624.334,2025,0.85635852273068
5333.T,NGK Insulators Ltd,JP,0.4280952380952381,0.7347524557050786,6.0,-2.3440912746240636,0.4710439,9.638053442912454,0.07623452806701278,529447189779.5099,2025,1.222531449255678
