ticker,name,market,qem_score,piotroski_f_score,eps_growth_yoy,momentum_12m_prior,beneish_m_score,ml_1y,pe_ratio,pb_ratio,market_cap_at_filing,fiscal_year,forward_return_1y
AER,AerCap Holdings N.V.,US,0.9113821138211382,8.0,5.5629,0.46424830701390074,-2.4797832102023776,0.6458175,9.514957762876806,1.73642292912321,29839773405.538086,2025,
COLL,"COLLEGIUM PHARMACEUTICAL, INC",US,0.9071138211382115,7.0,2.7432,0.6550263681694128,-2.9528864032993,0.6194479,28.871014276380343,7.135441498645546,1390283692.4790955,2025,
WFRD,Weatherford International plc,US,0.8567073170731707,8.0,14.7222,0.356867642647402,-2.760677903350657,0.595673,17.237898455649542,5.5939328062302405,7188203656.005859,2025,
VRT,Vertiv Holdings Co,US,0.8258130081300813,8.0,30.75,0.6723102104773413,-2.6014469494586967,0.56470346,193.97057528456716,61.9080787474567,89265258745.95781,2025,
EXPE,"Expedia Group, Inc.",US,0.8067073170731707,7.0,1.447,0.3451212538365729,-2.8322327724314764,0.5974249,32.8221967785499,16.80108595536562,26159290832.504272,2025,
FSLR,"FIRST SOLAR, INC.",US,0.7898373983739838,7.0,19.878,0.563272431896267,-2.3314821938726786,0.68103564,31.341902412799712,4.4615980590995985,26038131660.798508,2025,
YETI,"YETI Holdings, Inc.",US,0.7640243902439025,8.0,0.8835,0.32369463615208627,-2.7406842769410864,0.60680634,21.339635792663568,6.885930490100518,3625284026.63665,2025,
GCT,GigaCloud Technology Inc,US,0.759959349593496,7.0,2.8333,1.059263248130279,-2.3433623672279764,0.5764374,,,,2025,
TDC,TERADATA CORP /DE/,US,0.753658536585366,8.0,0.9677,0.17092925768850153,-3.2852840239205987,0.64490193,48.30159642311835,11.60736038074937,2994698978.2333374,2025,
IMAX,IMAX CORP,US,0.753048780487805,8.0,2.15,0.3433119205317159,-2.3656732178373847,0.6089687,76.3211070944088,6.45681061702112,1933595248.236847,2025,
TH,Target Hospitality Corp.,US,0.7479674796747967,7.0,1.1081,0.29629627340288023,-2.192991294545459,0.5990163,5.172623159300849,2.1337572646843657,898484642.7705574,2025,
GILT,GILAT SATELLITE NETWORKS LTD,US,0.7479674796747967,8.0,5.1,1.0027893310845952,-2.315413025947151,0.5957137,39.75957793054652,3.8279943458456342,934509119.6795654,2025,
CVEO,Civeo Corp,US,0.7445121951219511,7.0,10.5714,0.3253068597909661,-2.663048824075507,0.6311267,12.237891295063017,1.561337749172771,369058087.7852154,2025,
TPB,"Turning Point Brands, Inc.",US,0.7410569105691057,7.0,2.1406,0.8065537370345379,-2.6308031048049245,0.52915394,,,,2025,
TILE,INTERFACE INC,US,0.7406504065040651,7.0,1.303,0.7690478818463216,-2.6878975525990727,0.63507307,41.58577856207846,5.120566094889449,1851274104.2480469,2025,
