ticker,name,market,scdv_score,size_category_label,pb_ratio,piotroski_f_score,beneish_m_score,altman_z_score,ml_3y,market_cap_at_filing,debt_to_equity,fiscal_year,forward_return_1y
RLX,RLX Technology Inc.,US,0.8159313725490196,micro,9.840776453722926e-10,8.0,-1.8168122557621849,2.120357506960588,0.57768023,2.200000047683716,0.0,2025,
EGY,VAALCO ENERGY INC /DE/,US,0.7889705882352942,small,1.2330636209920778,7.0,-2.9755543630680066,2.4841752288461008,0.6022628,574737119.0625124,0.0,2025,
OSUR,ORASURE TECHNOLOGIES INC,US,0.7700980392156862,micro,0.655041787904534,6.0,-3.053356745370805,4.126666416094769,0.5736264,238713603.55710983,0.0,2025,
VLGEA,VILLAGE SUPER MARKET INC,US,0.7700066916952706,micro,0.3150825446360104,9.0,-2.352440034028885,3.2387343466178375,0.6457064,129236147.00317383,0.17613600347176508,2025,
ECG,"Everus Construction Group, Inc.",US,0.7632075198835863,micro,0.0003403558591787918,7.0,-2.4328337906155775,3.49491563681049,0.69718593,130100.00610351562,0.7734475352324544,2025,
CRI,CARTERS INC,US,0.7590593012128288,small,1.5073685869173683,6.0,-2.9244389042594094,2.860138932518612,0.66540426,1200481908.9382744,0.6254663119075752,2025,
FLNT.TO,FLINT Corp.,CA,0.7579256211768527,micro,0.3942883825013033,6.0,-3.0708536981519456,3.920719565064466,0.6517124,43702135.739679456,0.4370522744906981,2025,
GVH,Globavend Holdings Ltd,US,0.7502450980392157,micro,0.07638776173084418,7.0,-2.8516039717032378,3.3790140839185034,0.5427992,68683.52124595642,0.0,2025,
GO,Grocery Outlet Holding Corp.,US,0.7436039011132882,small,0.7700658362439384,8.0,-2.597386118000531,2.178099217450531,0.64218676,854937872.3197279,0.4300990619826448,2025,
PERI,Perion Network Ltd.,US,0.7392156862745098,small,0.6672248123407666,6.0,-2.4089682210247436,3.341509695546133,0.54533374,389081473.71952057,0.0,2025,
CRTO,Criteo S.A.,US,0.7105392156862745,small,0.9306719850826534,7.0,-2.6738696589058955,2.1959434121481403,0.5753267,976450809.356884,0.0,2025,
MBC,"MasterBrand, Inc.",US,0.6989002937679233,small,1.4906896503492333,7.0,-2.633503589289846,2.332301040104246,0.5610771,1504403995.1324463,0.9986127625842252,2025,
PVT.V,Pivotree Inc.,CA,0.6946078431372549,micro,1.0062215267152148,6.0,-2.521327763348455,9.48080020103839,0.6456432,51524116.635077,0.0,2025,
TEAD,Teads Holding Co.,US,0.6855392156862745,micro,0.1623778342186398,7.0,-2.3522160727273635,2.388440682050637,0.828613,35363619.00314069,0.0,2025,
JELD,"JELD-WEN Holding, Inc.",US,0.6843137254901961,micro,0.20102379082386235,6.0,-2.770950737538939,2.596902083101469,0.85341275,170999882.54536438,0.0,2025,
